Week,Chg,Player,Team,Opp,Att_Predicted,Yard,TD_Predicted,Rec_Predicted,Yard.1,TD.1_Predicted,FPts,Loc,Game,Pts*,Att_Actual,Cmp,Yds,TD_Actual,Int,2Pt,Att.1,Yds.1,TD.1_Actual,2Pt.1,Rec_Actual,Yds.2,TD.2,2Pt.2,FL,TD.3,Year,Net_score
2,,Greg Dortch,ARI,LV,0,0,0.0,6,61,0.0,6.1,Away,ARI@LV,11.0,0,0,0,0,0,0,0,0,0,0,4,55,1,0,0,0,2022,4.9
2,,DeVonta Smith,PHI,MIN,0,0,0.0,5,61,0.0,6.1,Home,MIN@PHI,8.0,0,0,0,0,0,0,0,0,0,0,7,80,0,0,0,0,2022,1.9000000000000004
2,,Russell Gage,TB,NO,0,0,0.0,5,60,0.0,6.0,Away,TB@NO,2.0,0,0,0,0,0,0,0,0,0,0,5,28,0,0,0,0,2022,-4.0
2,,Jarvis Landry,NO,TB,0,0,0.0,5,59,0.0,5.9,Home,TB@NO,2.0,0,0,0,0,0,0,0,0,0,0,4,25,0,0,0,0,2022,-3.9000000000000004
2,,Tyler Lockett,SEA,SF,0,0,0.0,4,59,0.0,5.9,Away,SEA@SF,10.0,0,0,0,0,0,0,0,0,0,0,9,107,0,0,0,0,2022,4.1
2,,Curtis Samuel,WAS,DET,0,0,0.0,6,58,0.0,5.8,Away,WAS@DET,15.0,0,0,0,0,0,0,1,21,0,0,7,78,1,0,0,0,2022,9.2
2,,Robbie Chosen,CAR,NYG,0,0,0.0,5,56,0.0,5.6,Away,CAR@NYG,2.0,0,0,0,0,0,0,0,0,0,0,3,32,0,0,1,0,2022,-3.5999999999999996
3,,Cooper Kupp,LAR,ARI,0,0,0.0,8,107,1.0,16.7,Away,LA@ARI,12.0,0,0,0,0,0,0,1,20,1,0,4,44,0,0,0,0,2022,-4.699999999999999
3,,Justin Jefferson,MIN,DET,0,0,0.0,7,104,1.0,16.4,Home,DET@MIN,1.0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,2022,-15.399999999999999
3,,Davante Adams,LV,TEN,0,0,0.0,8,96,1.0,15.6,Away,LV@TEN,9.0,0,0,0,0,0,0,1,-4,0,0,5,36,1,0,0,0,2022,-6.6
3,,Deebo Samuel,SF,DEN,8,44,0.0,4,52,1.0,15.6,Away,SF@DEN,7.0,0,0,0,0,0,0,5,6,0,0,5,73,0,0,0,0,2022,-8.6
