Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Tm,Actual_Fantasy_Points,Predicted_Fantasy_Points
Tony Jones,2TM,25.0,35.50358681886051
Travis Etienne,JAX,224.0,58.72004014568165
Trayveon Williams,CIN,8.0,32.56595593523766
Tre' McKitty,LAC,0.0,43.67022417804471
Trenton Irwin,CIN,38.0,34.94707685162378
Trey McBride,ARI,101.0,55.57748845232531
Treylon Burks,TEN,24.0,61.749462773785005
Tutu Atwell,LAR,73.0,51.938775337398084
Ty Chandler,MIN,80.0,29.932730618215896
Ty Montgomery,NWE,5.0,27.450890231185326
Tylan Wallace,BAL,7.0,34.847897210210256
Tyler Allgeier,ATL,120.0,39.218924504148376
Tyler Boyd,CIN,78.0,86.32704332125512
Tyler Conklin,NYJ,62.0,100.2700276295531
Tyler Higbee,LAR,62.0,134.53738611760113
Tyler Lockett,SEA,123.0,130.95687296062874
Tyquan Thornton,NWE,14.0,63.719181819334764
Tyreek Hill*+,MIA,257.0,127.32351114153937
Tyrion Davis-Price,SFO,2.0,31.005670225783344
Tyrod Taylor,NYG,87.0,29.932730618215896
Velus Jones Jr.,CHI,7.0,36.607651601682704
Wan'Dale Robinson,NYG,73.0,49.46821276801141
Will Dissly,SEA,23.0,52.03249187718599
Willie Snead,SFO,1.0,29.932730618215896
Zach Ertz,ARI,25.0,89.35536270418008
Zach Wilson,NYJ,120.0,24.995034101811537
Zamir White,LVR,59.0,29.932730618215896
Zay Jones,JAX,44.0,133.53941594384185
